               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078466,            0.024091,            0.054063,             0.30148,             0.41757,             0.25602,             0.11522,            0.066513,            0.014921,            0.029253,             0.07018,           0.0033134,           0.0033134
                   1,             0.05824,            0.016411,            0.019118,             0.49109,             0.52441,             0.46514,             0.20354,            0.062885,            0.013283,            0.013995,            0.040158,           0.0066248,           0.0066248
                   2,            0.055425,            0.013806,            0.012767,             0.50513,             0.48663,             0.46637,             0.23423,            0.055727,             0.01433,            0.012915,            0.010114,           0.0099142,           0.0099142
                   3,            0.049485,            0.013643,            0.011287,              0.5661,             0.49257,             0.48241,             0.24076,            0.052276,            0.014318,            0.011646,            0.009901,            0.009901,            0.009901
                   4,            0.044759,            0.012858,            0.010609,             0.63376,             0.53217,             0.55991,             0.29036,            0.052788,            0.015481,            0.011935,            0.009901,            0.009901,            0.009901
                   5,            0.042057,            0.012693,            0.009332,             0.72518,               0.556,             0.64011,             0.38353,            0.045918,            0.014981,            0.013475,            0.009868,            0.009868,            0.009868
                   6,            0.039411,            0.012413,           0.0084978,             0.75519,             0.58262,             0.64209,             0.33994,            0.048729,             0.01487,           0.0088794,            0.009835,            0.009835,            0.009835
                   7,            0.038965,            0.012056,           0.0080879,             0.69914,               0.539,             0.60763,             0.36423,            0.045253,            0.014618,           0.0079224,            0.009802,            0.009802,            0.009802
                   8,            0.037504,            0.012071,           0.0074279,             0.75802,              0.5657,             0.66236,             0.37787,            0.048053,            0.015399,           0.0087142,            0.009769,            0.009769,            0.009769
                   9,            0.036587,            0.011587,           0.0071134,             0.70976,             0.52109,             0.61816,             0.37851,            0.044735,            0.015465,            0.013121,            0.009736,            0.009736,            0.009736
                  10,            0.035911,            0.011306,           0.0070126,             0.74377,             0.61641,             0.67527,             0.41008,             0.04736,            0.014321,           0.0091649,            0.009703,            0.009703,            0.009703
                  11,            0.035233,            0.011592,           0.0063061,             0.74671,             0.56142,             0.63878,             0.38345,            0.045886,            0.015087,           0.0094731,             0.00967,             0.00967,             0.00967
                  12,            0.034685,             0.01137,           0.0062064,             0.76028,             0.62653,             0.69269,             0.42369,            0.046356,            0.014742,           0.0063268,            0.009637,            0.009637,            0.009637
                  13,            0.034312,            0.010915,           0.0056799,             0.78437,             0.61506,              0.6783,             0.42574,            0.044523,            0.014727,            0.010394,            0.009604,            0.009604,            0.009604
                  14,            0.033284,            0.010883,           0.0055431,             0.72869,              0.6071,             0.67857,             0.41802,            0.044383,            0.014676,            0.010648,            0.009571,            0.009571,            0.009571
                  15,            0.032978,            0.010937,           0.0050186,             0.74178,             0.56734,             0.66778,             0.42366,             0.04151,            0.014138,            0.011173,            0.009538,            0.009538,            0.009538
                  16,            0.031888,            0.011096,           0.0054552,              0.7909,             0.60815,             0.68812,             0.41763,              0.0423,            0.014841,           0.0071052,            0.009505,            0.009505,            0.009505
                  17,            0.032189,             0.01063,           0.0051983,             0.72307,             0.60657,             0.67176,             0.43363,            0.040591,            0.014853,           0.0074479,            0.009472,            0.009472,            0.009472
                  18,            0.031216,            0.010676,           0.0047421,             0.80003,             0.65523,             0.72065,             0.46244,             0.04074,            0.014196,           0.0054697,            0.009439,            0.009439,            0.009439
                  19,            0.031596,            0.010561,           0.0049248,             0.78347,             0.60519,             0.68649,             0.44562,            0.041088,            0.015413,           0.0071364,            0.009406,            0.009406,            0.009406
                  20,             0.03123,            0.010655,           0.0048491,             0.77683,              0.6027,             0.69658,             0.44288,            0.040222,            0.014024,           0.0070954,            0.009373,            0.009373,            0.009373
                  21,            0.030213,            0.010551,           0.0048287,             0.76911,             0.60643,             0.68262,             0.43402,            0.040443,            0.014888,           0.0069709,             0.00934,             0.00934,             0.00934
                  22,            0.030485,            0.010501,           0.0046029,              0.7364,               0.629,             0.67862,             0.44664,            0.040819,            0.014838,           0.0065143,            0.009307,            0.009307,            0.009307
                  23,            0.030061,            0.010561,           0.0043512,             0.72898,             0.64846,             0.67783,             0.44625,            0.041131,            0.014441,           0.0069795,            0.009274,            0.009274,            0.009274
                  24,            0.029124,            0.010174,           0.0042579,             0.80099,             0.66005,             0.73284,             0.48026,            0.040637,            0.014282,           0.0046098,            0.009241,            0.009241,            0.009241
