               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035669,            0.014293,           0.0053023,             0.74425,             0.65658,             0.72121,             0.46429,            0.041558,            0.014304,           0.0066396,            0.008845,            0.008845,            0.008845
                  37,            0.035125,            0.013447,           0.0056208,             0.81767,             0.65934,             0.75128,             0.49407,            0.040432,            0.013629,           0.0069467,            0.008812,            0.008812,            0.008812
                  38,            0.034876,            0.013917,           0.0052569,               0.762,             0.67003,             0.73564,             0.47184,            0.041142,            0.013459,           0.0077929,            0.008779,            0.008779,            0.008779
                  39,            0.035243,            0.014383,            0.005217,             0.73933,              0.6661,             0.70173,             0.45525,            0.039888,            0.013511,           0.0097589,            0.008746,            0.008746,            0.008746
                  40,            0.034177,             0.01376,             0.00525,             0.75948,             0.67278,             0.72935,             0.48211,            0.039976,             0.01352,            0.008858,            0.008713,            0.008713,            0.008713
                  41,            0.035004,            0.013206,           0.0057954,             0.78307,             0.67873,             0.74865,             0.49641,            0.040688,            0.013776,           0.0084757,             0.00868,             0.00868,             0.00868
                  42,            0.035066,            0.013582,           0.0056224,             0.77503,             0.63796,             0.71502,             0.44027,            0.040809,            0.013769,           0.0078409,            0.008647,            0.008647,            0.008647
                  43,            0.034415,            0.014035,           0.0052961,             0.70923,             0.63771,             0.68449,             0.45824,            0.039159,            0.013802,           0.0087632,            0.008614,            0.008614,            0.008614
                  44,            0.033698,            0.013767,           0.0053916,             0.81666,             0.63883,             0.72993,             0.47858,            0.040094,            0.013894,           0.0081922,            0.008581,            0.008581,            0.008581
                  45,            0.033903,            0.014102,            0.005256,             0.69646,             0.64492,             0.69335,             0.45847,            0.039155,            0.014323,           0.0098345,            0.008548,            0.008548,            0.008548
                  46,             0.03342,            0.013262,           0.0060354,              0.8056,             0.63264,             0.70114,             0.45877,            0.044056,            0.014448,           0.0077847,            0.008515,            0.008515,            0.008515
                  47,            0.033847,            0.013278,           0.0056617,             0.75665,             0.64386,             0.70209,             0.44835,            0.041396,            0.013724,           0.0082453,            0.008482,            0.008482,            0.008482
