               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067447,            0.021517,            0.028285,             0.56287,             0.52329,             0.51015,             0.26785,            0.053416,            0.012978,            0.010586,            0.070106,           0.0033215,           0.0033215
                   1,            0.049819,            0.014118,           0.0075731,             0.69566,              0.6028,             0.66378,             0.36425,            0.046245,            0.013193,           0.0069579,            0.040084,           0.0066329,           0.0066329
                   2,            0.045967,            0.012635,           0.0066272,             0.69106,             0.66414,             0.66321,               0.374,            0.043603,            0.012341,           0.0057746,             0.01004,           0.0099223,           0.0099223
                   3,            0.040479,             0.01151,           0.0057262,             0.73001,             0.61633,             0.68669,             0.36418,            0.042942,            0.012267,           0.0047914,            0.009901,            0.009901,            0.009901
                   4,            0.037195,            0.011245,            0.004814,             0.76872,             0.64767,             0.72369,             0.43083,            0.040136,            0.012144,           0.0039508,            0.009901,            0.009901,            0.009901
                   5,            0.034519,            0.010864,           0.0042135,             0.80843,             0.63537,             0.72021,             0.44571,             0.04358,            0.012056,           0.0033767,            0.009868,            0.009868,            0.009868
                   6,            0.032379,            0.010449,           0.0038551,             0.79274,             0.67852,             0.75462,              0.4554,            0.039769,            0.011684,           0.0031894,            0.009835,            0.009835,            0.009835
                   7,            0.031473,             0.01022,           0.0035679,             0.82033,             0.67511,             0.76508,             0.49225,            0.037389,              0.0124,           0.0030572,            0.009802,            0.009802,            0.009802
                   8,            0.030842,            0.010243,           0.0033451,             0.79647,             0.68894,             0.75176,              0.4662,            0.038278,              0.0121,           0.0029169,            0.009769,            0.009769,            0.009769
                   9,            0.029739,            0.010073,           0.0030801,             0.84233,             0.68459,             0.76376,             0.47421,            0.038899,            0.011947,           0.0028102,            0.009736,            0.009736,            0.009736
                  10,             0.02857,           0.0098609,           0.0029174,             0.81096,             0.69955,             0.76665,             0.49752,            0.037653,            0.011784,           0.0025007,            0.009703,            0.009703,            0.009703
                  11,            0.027911,           0.0097027,           0.0027973,             0.82043,             0.66258,             0.75923,             0.49855,            0.035459,            0.012435,           0.0024724,             0.00967,             0.00967,             0.00967
                  12,             0.02738,           0.0096222,           0.0026491,             0.83415,             0.69893,              0.7855,             0.50787,            0.035111,            0.011696,           0.0021378,            0.009637,            0.009637,            0.009637
                  13,            0.027032,           0.0094721,           0.0025406,             0.79356,             0.66528,             0.75547,             0.48252,             0.03537,            0.012146,           0.0020231,            0.009604,            0.009604,            0.009604
                  14,            0.026714,           0.0095846,           0.0024503,             0.85177,             0.70693,             0.79594,             0.51768,            0.035332,            0.011857,            0.001914,            0.009571,            0.009571,            0.009571
                  15,            0.025861,           0.0091798,           0.0023493,             0.85547,              0.7004,             0.78893,             0.52323,            0.035291,            0.011983,           0.0017601,            0.009538,            0.009538,            0.009538
                  16,            0.025626,           0.0090333,           0.0022924,             0.86492,             0.68686,             0.78307,              0.5201,             0.03433,            0.012127,           0.0016229,            0.009505,            0.009505,            0.009505
                  17,            0.025641,           0.0089032,           0.0022356,             0.83351,             0.70087,              0.7802,             0.50948,             0.03572,            0.011623,           0.0015221,            0.009472,            0.009472,            0.009472
                  18,            0.024809,           0.0090553,           0.0021248,             0.86586,             0.70632,             0.80124,              0.5358,            0.034359,            0.011924,           0.0013246,            0.009439,            0.009439,            0.009439
                  19,            0.024433,           0.0089174,           0.0020928,             0.83036,             0.70612,             0.78678,             0.51564,            0.034209,            0.011761,           0.0013307,            0.009406,            0.009406,            0.009406
                  20,            0.024506,           0.0090562,           0.0020535,             0.84091,             0.71652,             0.79374,             0.54522,            0.034794,            0.011838,           0.0012353,            0.009373,            0.009373,            0.009373
                  21,            0.023605,           0.0085259,           0.0020113,             0.84356,             0.71185,             0.79581,              0.5388,             0.03403,            0.011736,           0.0011041,             0.00934,             0.00934,             0.00934
                  22,            0.023435,           0.0085544,           0.0019421,             0.88556,             0.69587,             0.79253,             0.53086,            0.034418,            0.012163,          0.00095234,            0.009307,            0.009307,            0.009307
                  23,            0.023178,           0.0085381,           0.0018729,             0.83419,             0.71819,             0.78715,             0.53426,            0.034395,            0.012283,            0.001029,            0.009274,            0.009274,            0.009274
                  24,            0.023123,           0.0086157,           0.0018836,             0.85606,             0.69443,             0.78208,             0.53194,            0.036004,            0.012162,          0.00099615,            0.009241,            0.009241,            0.009241
                  25,            0.022708,           0.0084929,           0.0018232,             0.84905,              0.6914,              0.7791,             0.52599,             0.03447,            0.012365,          0.00086731,            0.009208,            0.009208,            0.009208
                  26,            0.023033,           0.0083925,           0.0018005,             0.85989,             0.69015,             0.78318,             0.53537,             0.03392,            0.012128,          0.00070892,            0.009175,            0.009175,            0.009175
                  27,            0.021917,            0.008329,           0.0017322,              0.8542,             0.69917,             0.78908,             0.54796,            0.033402,            0.012392,          0.00084056,            0.009142,            0.009142,            0.009142
                  28,            0.022384,           0.0081623,           0.0017636,             0.84604,             0.73249,              0.8017,             0.54969,            0.032526,            0.011641,          0.00077054,            0.009109,            0.009109,            0.009109
                  29,            0.022112,           0.0081151,           0.0017079,             0.83705,             0.71507,             0.79484,             0.54402,            0.032388,            0.011967,          0.00081134,            0.009076,            0.009076,            0.009076
                  30,             0.02159,           0.0081707,            0.001624,              0.8566,             0.71109,             0.79522,             0.54723,            0.032377,            0.011937,          0.00072447,            0.009043,            0.009043,            0.009043
                  31,            0.021557,           0.0081116,           0.0016451,             0.84194,             0.72681,             0.79996,              0.5461,            0.032973,            0.011908,          0.00072583,             0.00901,             0.00901,             0.00901
                  32,            0.022297,           0.0079776,           0.0016308,             0.85032,             0.71737,             0.79703,             0.55036,            0.033174,            0.011762,          0.00052465,            0.008977,            0.008977,            0.008977
                  33,            0.021402,           0.0079208,           0.0016119,             0.88177,             0.71128,             0.80085,             0.55472,            0.032857,            0.012049,          0.00071449,            0.008944,            0.008944,            0.008944
                  34,            0.021126,           0.0077926,            0.001557,             0.87131,             0.72037,             0.80323,             0.55093,            0.032568,            0.011794,           0.0005077,            0.008911,            0.008911,            0.008911
                  35,            0.021188,            0.007931,           0.0015302,             0.86855,             0.71999,             0.81005,             0.56629,            0.032297,            0.011484,          0.00050383,            0.008878,            0.008878,            0.008878
                  36,            0.020845,           0.0078172,           0.0015633,              0.8735,             0.72851,             0.81263,             0.56279,             0.03252,            0.011678,          0.00047152,            0.008845,            0.008845,            0.008845
                  37,            0.020552,           0.0076314,           0.0015157,             0.86545,             0.71223,             0.80633,             0.55721,            0.032361,            0.011821,          0.00050452,            0.008812,            0.008812,            0.008812
                  38,            0.020772,           0.0078216,           0.0014951,             0.85317,             0.71616,             0.80276,             0.54867,            0.033064,             0.01203,          0.00044821,            0.008779,            0.008779,            0.008779
                  39,            0.021078,           0.0077457,           0.0014894,             0.85336,             0.72491,             0.80388,             0.56091,            0.032483,            0.011692,          0.00054953,            0.008746,            0.008746,            0.008746
                  40,            0.020556,           0.0078486,            0.001457,             0.82142,             0.71848,             0.79559,             0.54036,            0.031965,            0.011851,          0.00050958,            0.008713,            0.008713,            0.008713
                  41,            0.020123,           0.0077751,           0.0014123,             0.86702,             0.71791,             0.80374,             0.56038,             0.03227,            0.012148,          0.00043404,             0.00868,             0.00868,             0.00868
                  42,            0.020469,           0.0076861,           0.0014447,             0.87603,             0.71128,             0.80269,             0.55937,            0.031792,            0.012188,          0.00051247,            0.008647,            0.008647,            0.008647
