               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075912,            0.024308,            0.049887,             0.19601,             0.29353,             0.15582,            0.065604,            0.070472,            0.014203,              0.0418,            0.070224,           0.0033085,           0.0033085
                   1,            0.057294,            0.014661,            0.015785,             0.47226,             0.39274,             0.36535,             0.16634,            0.066468,             0.01267,            0.030053,            0.040202,           0.0066199,           0.0066199
                   2,            0.054861,            0.012125,            0.011228,             0.45004,             0.41425,              0.4012,             0.20271,             0.06548,            0.012455,            0.026577,            0.010158,           0.0099093,           0.0099093
                   3,            0.048017,             0.01088,           0.0097469,             0.53453,             0.44123,             0.46992,             0.24495,            0.060716,            0.013413,            0.020145,            0.009901,            0.009901,            0.009901
                   4,             0.04258,            0.010354,           0.0081242,             0.49904,             0.45948,             0.44127,             0.20524,            0.056599,            0.014459,            0.017165,            0.009901,            0.009901,            0.009901
                   5,            0.038543,           0.0095439,           0.0072236,             0.51413,             0.43235,             0.41827,             0.21794,            0.055851,            0.014227,            0.023286,            0.009868,            0.009868,            0.009868
                   6,            0.036513,           0.0095219,           0.0070719,             0.62116,             0.49812,             0.54567,             0.28484,            0.052198,            0.014614,             0.01598,            0.009835,            0.009835,            0.009835
                   7,            0.033645,           0.0091254,           0.0063829,             0.58663,             0.46075,               0.501,             0.27497,            0.054214,            0.015007,            0.018557,            0.009802,            0.009802,            0.009802
                   8,            0.032974,           0.0089372,           0.0062707,             0.54283,             0.43813,             0.44841,             0.24701,            0.054727,            0.017463,            0.027782,            0.009769,            0.009769,            0.009769
                   9,            0.032334,            0.008819,           0.0055917,              0.6242,             0.48605,             0.50707,             0.27339,            0.049705,            0.017063,            0.023341,            0.009736,            0.009736,            0.009736
                  10,            0.031075,           0.0087729,           0.0054725,             0.56475,             0.50163,             0.48627,             0.26355,            0.052273,            0.015513,            0.022647,            0.009703,            0.009703,            0.009703
                  11,            0.030156,           0.0086107,           0.0051218,             0.65835,             0.48974,             0.56415,              0.3163,            0.050674,            0.016974,            0.023923,             0.00967,             0.00967,             0.00967
                  12,            0.030276,           0.0085113,           0.0055317,             0.61244,             0.48936,             0.53253,             0.28897,            0.049567,            0.014912,            0.019585,            0.009637,            0.009637,            0.009637
                  13,            0.028897,           0.0082697,           0.0049916,             0.59932,             0.54599,             0.52993,             0.31546,            0.048533,            0.015988,            0.015753,            0.009604,            0.009604,            0.009604
                  14,            0.028832,           0.0084794,           0.0051145,              0.5283,             0.45524,              0.4313,             0.25792,            0.049662,            0.016913,            0.024083,            0.009571,            0.009571,            0.009571
                  15,            0.028463,           0.0082566,           0.0049132,             0.64602,             0.51953,             0.57738,             0.33095,            0.048757,            0.015425,            0.017267,            0.009538,            0.009538,            0.009538
                  16,            0.027179,           0.0079589,           0.0045177,             0.68629,             0.53082,             0.59446,             0.34076,            0.048492,            0.015288,            0.017833,            0.009505,            0.009505,            0.009505
                  17,            0.027225,           0.0080513,           0.0044689,             0.70036,             0.48411,             0.57569,             0.33578,            0.046595,            0.015529,            0.016922,            0.009472,            0.009472,            0.009472
                  18,            0.026964,           0.0078828,            0.004293,              0.6391,             0.53296,              0.5481,             0.32826,            0.048811,              0.0162,            0.016481,            0.009439,            0.009439,            0.009439
