               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077688,            0.024764,            0.037589,             0.40384,             0.49375,             0.36797,             0.15798,            0.062938,            0.013326,            0.011972,             0.07019,           0.0033122,           0.0033122
                   1,            0.056145,            0.016459,           0.0092905,             0.47866,             0.52764,             0.48433,             0.24172,            0.059251,            0.011874,           0.0078288,            0.040168,           0.0066236,           0.0066236
                   2,            0.055045,            0.014491,           0.0077242,             0.49233,             0.58463,             0.44788,             0.20131,            0.057309,            0.012611,           0.0067444,            0.010124,            0.009913,            0.009913
                   3,            0.048426,            0.013844,           0.0067569,             0.69979,             0.60063,             0.65364,              0.3682,            0.046833,            0.012009,           0.0055166,            0.009901,            0.009901,            0.009901
                   4,            0.041415,             0.01277,            0.005795,             0.71186,             0.60204,              0.6723,             0.38359,            0.043094,            0.012391,           0.0050501,            0.009901,            0.009901,            0.009901
                   5,            0.039221,            0.012498,           0.0052026,             0.68468,             0.62079,             0.67721,              0.3678,            0.043193,            0.011969,           0.0044408,            0.009868,            0.009868,            0.009868
                   6,            0.036964,            0.012232,           0.0047752,             0.75397,             0.64502,             0.71569,             0.41718,            0.041311,            0.012008,           0.0041433,            0.009835,            0.009835,            0.009835
                   7,            0.036454,            0.011741,            0.004388,             0.79721,              0.6691,             0.74766,             0.44034,            0.038416,            0.011711,           0.0036844,            0.009802,            0.009802,            0.009802
                   8,            0.035366,            0.011474,           0.0041057,             0.75333,             0.64407,             0.71466,             0.44039,            0.040672,            0.012045,           0.0033884,            0.009769,            0.009769,            0.009769
                   9,            0.034512,            0.011578,           0.0039969,              0.8161,             0.67967,             0.76677,             0.47967,            0.038753,            0.011577,           0.0032437,            0.009736,            0.009736,            0.009736
                  10,            0.034188,            0.011456,           0.0037502,             0.83078,             0.69197,             0.78458,             0.50374,            0.036095,            0.011851,            0.003056,            0.009703,            0.009703,            0.009703
                  11,            0.032672,            0.011281,           0.0035937,             0.81604,              0.7003,             0.77704,             0.48534,            0.036914,            0.011634,           0.0030576,             0.00967,             0.00967,             0.00967
                  12,            0.032255,            0.011183,           0.0034677,             0.80566,             0.66869,             0.74738,             0.46834,            0.038931,            0.012177,           0.0031258,            0.009637,            0.009637,            0.009637
                  13,            0.032002,            0.011158,           0.0033617,             0.80463,             0.67915,              0.7527,             0.47439,            0.038516,            0.011938,           0.0028725,            0.009604,            0.009604,            0.009604
                  14,            0.030784,            0.011028,           0.0031835,             0.81492,             0.67769,             0.75518,             0.48344,            0.036113,            0.012135,           0.0028293,            0.009571,            0.009571,            0.009571
                  15,            0.030509,            0.010887,           0.0030906,             0.81336,             0.70011,              0.7654,             0.50251,             0.03574,            0.011769,           0.0025624,            0.009538,            0.009538,            0.009538
                  16,            0.030332,            0.010821,           0.0030158,             0.83888,             0.70541,             0.78094,             0.51127,            0.035992,             0.01166,           0.0025116,            0.009505,            0.009505,            0.009505
                  17,            0.029404,            0.010526,           0.0028134,             0.82433,              0.6956,             0.77532,             0.51492,            0.035551,            0.011593,           0.0023876,            0.009472,            0.009472,            0.009472
                  18,            0.029635,            0.010627,           0.0028341,             0.83069,             0.70597,             0.79069,             0.52024,            0.035502,            0.011446,           0.0024156,            0.009439,            0.009439,            0.009439
                  19,            0.028258,            0.010504,           0.0027271,             0.84317,             0.70579,             0.78885,             0.52693,            0.035043,            0.011886,           0.0023469,            0.009406,            0.009406,            0.009406
                  20,            0.028433,            0.010497,           0.0026389,             0.81547,             0.71072,             0.78515,             0.50965,            0.036289,            0.011579,           0.0022934,            0.009373,            0.009373,            0.009373
                  21,            0.028116,             0.01036,           0.0025273,             0.82545,             0.71982,             0.79027,              0.5262,            0.035385,            0.011292,           0.0020757,             0.00934,             0.00934,             0.00934
                  22,            0.028828,            0.010318,           0.0025589,             0.80335,             0.69219,             0.77881,             0.50368,            0.034258,            0.011557,           0.0020485,            0.009307,            0.009307,            0.009307
                  23,            0.027065,             0.01019,           0.0024437,             0.84393,             0.70333,             0.78627,             0.50871,            0.035096,            0.012206,           0.0021849,            0.009274,            0.009274,            0.009274
                  24,            0.027145,             0.01002,            0.002406,             0.82283,             0.71374,             0.78164,             0.53593,            0.034661,            0.011509,           0.0020427,            0.009241,            0.009241,            0.009241
                  25,            0.026831,            0.010092,           0.0023476,             0.80288,             0.70144,             0.77409,             0.51188,             0.03391,            0.011929,           0.0019283,            0.009208,            0.009208,            0.009208
                  26,            0.027203,           0.0099373,           0.0023454,             0.82862,             0.71128,             0.78887,             0.53166,            0.033946,            0.011576,           0.0018349,            0.009175,            0.009175,            0.009175
                  27,            0.025919,           0.0097549,           0.0022593,             0.82871,             0.71526,             0.79394,              0.5391,            0.033034,            0.011739,           0.0017961,            0.009142,            0.009142,            0.009142
                  28,            0.026157,           0.0097035,           0.0022132,             0.84383,               0.713,              0.7945,             0.53925,            0.033595,            0.011961,           0.0018131,            0.009109,            0.009109,            0.009109
                  29,            0.025721,           0.0099331,            0.002147,             0.83462,             0.70901,             0.78531,              0.5354,            0.033711,            0.012231,           0.0015607,            0.009076,            0.009076,            0.009076
                  30,            0.025584,           0.0096545,           0.0021496,             0.81991,             0.70901,             0.78884,             0.53223,            0.033213,            0.011488,           0.0014346,            0.009043,            0.009043,            0.009043
                  31,            0.025537,           0.0098329,           0.0020499,             0.85645,             0.72207,             0.79749,             0.54464,            0.034169,            0.011562,           0.0014325,             0.00901,             0.00901,             0.00901
                  32,            0.026079,           0.0097726,           0.0021137,             0.86431,             0.71356,             0.80148,             0.56226,            0.032304,            0.012316,           0.0015414,            0.008977,            0.008977,            0.008977
                  33,            0.025478,           0.0095616,           0.0020309,             0.86746,             0.73109,             0.81388,              0.5553,            0.033026,             0.01163,           0.0015145,            0.008944,            0.008944,            0.008944
                  34,            0.025423,           0.0094439,           0.0020053,             0.84232,             0.72618,             0.80537,             0.55052,            0.032817,            0.011518,           0.0012943,            0.008911,            0.008911,            0.008911
                  35,            0.025183,           0.0095455,           0.0019808,             0.84933,             0.73059,             0.80314,             0.55078,              0.0331,            0.011603,           0.0011477,            0.008878,            0.008878,            0.008878
                  36,            0.025193,            0.009585,            0.002059,             0.87282,             0.71393,             0.79635,             0.55693,            0.033165,            0.012287,           0.0015056,            0.008845,            0.008845,            0.008845
                  37,            0.024396,            0.009214,           0.0019458,             0.84246,             0.72151,             0.79357,             0.54381,            0.033531,            0.011803,           0.0011738,            0.008812,            0.008812,            0.008812
                  38,            0.024141,           0.0093684,           0.0018974,             0.86261,             0.72207,             0.80379,             0.56354,            0.032712,            0.012382,           0.0011341,            0.008779,            0.008779,            0.008779
                  39,            0.023934,           0.0092641,             0.00187,             0.85989,             0.71166,             0.79997,             0.55977,            0.032614,            0.011999,           0.0012596,            0.008746,            0.008746,            0.008746
                  40,            0.023796,            0.009172,           0.0018404,               0.851,             0.71999,             0.80339,             0.55551,            0.032509,            0.011674,            0.001012,            0.008713,            0.008713,            0.008713
                  41,            0.023848,            0.009134,           0.0018318,              0.8521,             0.72113,             0.80466,             0.56143,             0.03325,             0.01193,            0.001021,             0.00868,             0.00868,             0.00868
                  42,            0.024045,           0.0092299,           0.0018274,             0.87259,             0.72738,             0.81308,             0.56323,            0.032116,            0.012136,           0.0012102,            0.008647,            0.008647,            0.008647
                  43,            0.022914,           0.0091125,           0.0018118,             0.86631,              0.7287,             0.81067,             0.57352,            0.032248,            0.011494,          0.00089215,            0.008614,            0.008614,            0.008614
                  44,            0.023072,           0.0091271,           0.0017619,             0.85957,             0.72908,             0.80856,             0.57041,            0.033028,            0.011903,          0.00095511,            0.008581,            0.008581,            0.008581
                  45,            0.022578,           0.0089327,           0.0017679,               0.868,             0.71213,             0.79431,             0.56117,            0.033624,            0.012073,          0.00099439,            0.008548,            0.008548,            0.008548
                  46,            0.023061,            0.008845,           0.0017233,             0.85272,             0.71715,             0.79895,             0.56142,             0.03249,            0.012203,           0.0011521,            0.008515,            0.008515,            0.008515
                  47,            0.022915,           0.0089258,            0.001724,             0.85525,             0.73154,             0.81077,             0.55971,            0.033097,             0.01232,           0.0010073,            0.008482,            0.008482,            0.008482
                  48,            0.022521,           0.0088055,           0.0017077,             0.88388,             0.71734,              0.8136,               0.577,            0.032385,            0.012123,          0.00094076,            0.008449,            0.008449,            0.008449
                  49,            0.022494,           0.0087224,           0.0016496,             0.86914,             0.72304,             0.80532,             0.56818,            0.032659,            0.012327,          0.00095742,            0.008416,            0.008416,            0.008416
                  50,            0.022728,           0.0088231,           0.0016531,             0.84814,              0.7217,             0.79613,              0.5561,            0.032763,            0.012348,          0.00076086,            0.008383,            0.008383,            0.008383
                  51,            0.022567,           0.0087762,           0.0015989,             0.85717,             0.70825,             0.79463,             0.55222,            0.032288,            0.012576,           0.0008956,             0.00835,             0.00835,             0.00835
                  52,            0.022484,           0.0088777,           0.0016527,             0.86615,             0.72378,             0.80353,              0.5627,            0.032878,            0.012106,          0.00092564,            0.008317,            0.008317,            0.008317
                  53,            0.022458,           0.0086836,           0.0016411,             0.86466,             0.73422,             0.81809,             0.57761,            0.032529,            0.011837,          0.00081733,            0.008284,            0.008284,            0.008284
                  54,            0.022445,           0.0087328,           0.0016448,             0.88173,             0.71204,             0.80766,             0.58145,             0.03227,             0.01216,          0.00089882,            0.008251,            0.008251,            0.008251
                  55,            0.022146,           0.0087357,           0.0015609,              0.8759,             0.70977,             0.80129,             0.57287,            0.032487,            0.012577,          0.00087727,            0.008218,            0.008218,            0.008218
                  56,            0.021994,           0.0087788,           0.0015705,             0.86676,             0.72295,             0.80846,             0.57526,            0.032242,            0.012387,          0.00083019,            0.008185,            0.008185,            0.008185
                  57,            0.022067,           0.0083452,           0.0015629,             0.84924,             0.72416,              0.8082,             0.56513,             0.03196,            0.012101,          0.00067287,            0.008152,            0.008152,            0.008152
                  58,            0.022289,           0.0085355,           0.0015773,             0.85349,             0.73013,              0.8041,              0.5632,            0.032502,            0.012041,          0.00070352,            0.008119,            0.008119,            0.008119
                  59,            0.021111,           0.0084359,           0.0014967,             0.87682,             0.72365,             0.80222,             0.56634,            0.032639,            0.011641,           0.0005995,            0.008086,            0.008086,            0.008086
