               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090593,            0.028961,            0.068065,             0.30396,             0.53027,             0.26237,              0.1285,             0.06893,            0.016857,            0.040819,            0.070345,            0.003295,            0.003295
                   1,            0.066236,            0.021755,            0.025378,             0.43812,             0.53537,             0.45708,             0.19286,            0.061187,            0.013897,            0.014242,            0.040323,           0.0066065,           0.0066065
                   2,            0.064383,            0.018867,            0.016345,             0.29262,             0.45877,             0.25452,            0.077639,            0.065292,            0.013449,            0.010116,            0.010279,           0.0098959,           0.0098959
                   3,            0.058586,            0.018243,            0.013989,             0.54394,              0.5025,             0.52005,              0.2705,            0.056634,            0.013978,           0.0096803,            0.009901,            0.009901,            0.009901
                   4,            0.053682,            0.017463,            0.013177,             0.55979,             0.46749,             0.50507,             0.29554,             0.05351,            0.013649,            0.010372,            0.009901,            0.009901,            0.009901
                   5,            0.049714,            0.017458,            0.011704,             0.55219,             0.51129,             0.50316,             0.26909,            0.049803,            0.013905,            0.014648,            0.009868,            0.009868,            0.009868
                   6,            0.047658,            0.017704,            0.010942,             0.61702,             0.47361,              0.5675,             0.24192,            0.049713,            0.013883,            0.010365,            0.009835,            0.009835,            0.009835
                   7,             0.04692,            0.017609,            0.010006,             0.70896,             0.55486,             0.61208,             0.38591,            0.046434,            0.013869,           0.0083098,            0.009802,            0.009802,            0.009802
                   8,            0.045983,            0.016702,           0.0098762,             0.68493,             0.57959,             0.61976,              0.3522,              0.0448,              0.0137,             0.01069,            0.009769,            0.009769,            0.009769
                   9,            0.044075,            0.016934,           0.0087239,             0.70452,             0.58866,             0.65814,             0.40516,             0.04552,            0.014084,            0.013179,            0.009736,            0.009736,            0.009736
                  10,            0.043534,            0.016367,           0.0081956,             0.70445,             0.62592,             0.68694,             0.41658,            0.040837,            0.013165,            0.009779,            0.009703,            0.009703,            0.009703
                  11,            0.041952,            0.016253,           0.0084098,             0.76744,             0.61236,              0.7105,             0.44671,            0.044875,            0.013397,           0.0079075,             0.00967,             0.00967,             0.00967
                  12,             0.04188,             0.01603,            0.007769,                0.81,             0.63513,             0.73487,             0.47503,            0.039172,            0.013291,           0.0080732,            0.009637,            0.009637,            0.009637
                  13,            0.040482,            0.016003,            0.008317,             0.74991,             0.62151,             0.70484,             0.44825,            0.041958,             0.01335,            0.009611,            0.009604,            0.009604,            0.009604
                  14,             0.04022,            0.015185,            0.007618,             0.83423,             0.66166,             0.75468,             0.49301,            0.041783,            0.013282,           0.0069351,            0.009571,            0.009571,            0.009571
                  15,            0.040405,            0.016195,           0.0070822,             0.80086,             0.69641,             0.76441,             0.48884,            0.038775,            0.013126,           0.0061332,            0.009538,            0.009538,            0.009538
                  16,            0.039529,            0.015495,           0.0069274,              0.7767,             0.65741,             0.75048,             0.51399,            0.042413,            0.012964,           0.0067949,            0.009505,            0.009505,            0.009505
                  17,            0.039001,            0.015498,           0.0064323,              0.8059,             0.61162,             0.74085,             0.48168,              0.0426,            0.012996,           0.0071111,            0.009472,            0.009472,            0.009472
                  18,            0.039058,            0.015041,           0.0063167,             0.69613,             0.65766,             0.70828,             0.47254,            0.041021,             0.01334,           0.0071238,            0.009439,            0.009439,            0.009439
                  19,            0.037046,            0.015517,           0.0069438,             0.77385,             0.61229,             0.71164,             0.44687,            0.038535,            0.013152,           0.0081682,            0.009406,            0.009406,            0.009406
                  20,            0.037596,             0.01483,           0.0057659,               0.802,             0.68347,             0.77717,             0.50281,            0.038783,            0.013312,           0.0053115,            0.009373,            0.009373,            0.009373
                  21,            0.036627,            0.015263,           0.0060036,             0.70067,             0.64518,             0.69647,             0.46183,             0.03938,            0.013811,           0.0077768,             0.00934,             0.00934,             0.00934
                  22,            0.036371,             0.01469,           0.0058671,             0.74224,             0.68457,             0.73041,             0.49584,             0.03818,             0.01281,           0.0065761,            0.009307,            0.009307,            0.009307
                  23,            0.036526,            0.014769,           0.0060148,             0.73989,             0.60491,             0.70867,             0.45643,            0.040897,             0.01338,           0.0087561,            0.009274,            0.009274,            0.009274
                  24,            0.036299,            0.015217,           0.0054395,             0.75545,             0.71169,             0.76913,             0.52378,            0.037449,            0.013152,           0.0074929,            0.009241,            0.009241,            0.009241
                  25,            0.036139,            0.015093,           0.0057012,             0.82165,             0.67507,             0.76186,             0.48984,            0.037969,            0.013177,           0.0057162,            0.009208,            0.009208,            0.009208
                  26,            0.036484,            0.014643,           0.0053073,             0.79482,             0.64893,             0.76772,              0.5079,            0.039588,             0.01313,           0.0075987,            0.009175,            0.009175,            0.009175
                  27,            0.035245,            0.014618,           0.0050556,             0.79451,             0.70581,             0.77115,             0.51746,            0.038427,            0.013756,           0.0063493,            0.009142,            0.009142,            0.009142
                  28,            0.035499,            0.014793,           0.0055394,             0.73909,             0.66279,             0.73507,             0.50075,            0.038196,            0.013112,           0.0058822,            0.009109,            0.009109,            0.009109
                  29,            0.034793,            0.014237,           0.0055565,             0.73209,             0.66168,             0.70054,             0.47451,            0.036998,             0.01323,            0.007179,            0.009076,            0.009076,            0.009076
                  30,            0.033955,            0.014426,           0.0050431,             0.71309,             0.67992,             0.73655,              0.5061,             0.03562,            0.012918,           0.0061529,            0.009043,            0.009043,            0.009043
                  31,            0.034636,            0.014335,           0.0055475,             0.82403,             0.68078,             0.77288,             0.51708,            0.039081,            0.013084,            0.004627,             0.00901,             0.00901,             0.00901
                  32,            0.034107,            0.013679,           0.0044823,             0.74805,             0.70043,             0.75785,             0.50884,            0.037119,            0.013113,           0.0043461,            0.008977,            0.008977,            0.008977
                  33,            0.034523,            0.013724,           0.0044836,             0.77212,             0.70052,             0.77512,             0.51857,            0.036733,            0.012985,           0.0063054,            0.008944,            0.008944,            0.008944
                  34,            0.033944,            0.014114,           0.0044435,              0.7899,             0.64061,             0.75829,              0.5384,            0.036079,            0.013001,           0.0069625,            0.008911,            0.008911,            0.008911
                  35,            0.033013,            0.013933,           0.0046548,             0.80401,             0.71757,             0.79552,             0.55682,            0.036082,            0.013036,           0.0044618,            0.008878,            0.008878,            0.008878
                  36,            0.033223,            0.014041,           0.0045427,             0.76353,             0.70077,             0.76904,             0.52278,            0.037007,             0.01307,           0.0052539,            0.008845,            0.008845,            0.008845
                  37,            0.032715,            0.014118,           0.0046088,             0.78492,             0.73062,             0.77742,             0.53382,             0.03587,             0.01314,           0.0045647,            0.008812,            0.008812,            0.008812
                  38,            0.032823,            0.013746,           0.0042208,             0.78718,             0.73904,             0.78683,             0.53878,            0.036773,            0.012979,           0.0047616,            0.008779,            0.008779,            0.008779
                  39,             0.03194,            0.013313,             0.00414,             0.84203,             0.67608,             0.78727,             0.54241,            0.035702,            0.013261,             0.00588,            0.008746,            0.008746,            0.008746
                  40,            0.032282,            0.013459,           0.0044648,             0.78818,             0.74045,             0.77427,             0.53499,            0.036089,            0.012927,           0.0050352,            0.008713,            0.008713,            0.008713
                  41,            0.032919,            0.013262,           0.0044531,              0.8145,             0.68743,             0.78687,              0.5546,            0.035689,            0.013239,           0.0070599,             0.00868,             0.00868,             0.00868
                  42,            0.031202,             0.01299,           0.0039428,             0.79768,             0.70685,             0.79413,               0.553,            0.035097,            0.012887,           0.0044252,            0.008647,            0.008647,            0.008647
                  43,            0.031992,            0.013286,           0.0040773,              0.7715,             0.63768,             0.75077,             0.50878,            0.034853,            0.012911,           0.0086126,            0.008614,            0.008614,            0.008614
                  44,            0.031837,            0.013145,           0.0040613,             0.85059,             0.74731,             0.82255,             0.57448,            0.035404,            0.012596,           0.0037473,            0.008581,            0.008581,            0.008581
                  45,            0.031333,            0.013436,           0.0043325,             0.76358,             0.67747,             0.76731,             0.53643,            0.034798,            0.012658,           0.0080799,            0.008548,            0.008548,            0.008548
                  46,            0.031201,            0.012888,           0.0042491,             0.80575,             0.71069,             0.79748,             0.56962,            0.034765,            0.012882,           0.0051314,            0.008515,            0.008515,            0.008515
                  47,            0.030381,             0.01261,           0.0039012,             0.80645,             0.71215,             0.79465,             0.56015,            0.035328,             0.01268,            0.005127,            0.008482,            0.008482,            0.008482
                  48,             0.03059,            0.012632,           0.0042523,             0.85936,              0.6817,              0.8052,             0.57886,            0.034915,            0.013459,           0.0055787,            0.008449,            0.008449,            0.008449
                  49,            0.030496,            0.013115,           0.0038771,             0.78773,             0.68801,             0.76234,             0.52359,            0.034505,            0.013182,           0.0058718,            0.008416,            0.008416,            0.008416
                  50,            0.029902,            0.012696,           0.0035833,             0.81758,             0.73934,             0.81019,             0.58315,             0.03506,               0.013,           0.0055092,            0.008383,            0.008383,            0.008383
                  51,            0.029831,              0.0127,           0.0037726,             0.81472,             0.72479,             0.79851,             0.55275,            0.035522,            0.013172,             0.00415,             0.00835,             0.00835,             0.00835
                  52,            0.030613,            0.012675,           0.0037406,             0.82302,             0.72625,             0.78041,              0.5569,             0.03421,            0.012915,           0.0052857,            0.008317,            0.008317,            0.008317
                  53,            0.030323,            0.012825,           0.0036903,             0.84219,             0.73723,             0.81399,             0.57742,            0.035003,            0.013323,           0.0041871,            0.008284,            0.008284,            0.008284
                  54,            0.029489,            0.012321,           0.0033619,             0.83761,             0.69407,             0.80348,             0.57021,            0.033848,            0.012899,           0.0037034,            0.008251,            0.008251,            0.008251
                  55,            0.028955,            0.012658,           0.0030996,             0.82643,             0.71795,             0.79962,              0.5702,            0.034172,            0.013376,           0.0046849,            0.008218,            0.008218,            0.008218
                  56,            0.028729,            0.012425,           0.0039477,             0.80471,             0.68675,             0.78832,             0.56099,             0.03446,            0.013477,           0.0041272,            0.008185,            0.008185,            0.008185
                  57,            0.028451,            0.012074,            0.003986,             0.84702,             0.75133,             0.82327,             0.59674,             0.03477,            0.013277,           0.0030659,            0.008152,            0.008152,            0.008152
                  58,            0.029575,            0.012516,           0.0031749,             0.78779,             0.71888,             0.79089,              0.5653,            0.036155,            0.013726,           0.0060258,            0.008119,            0.008119,            0.008119
