               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087222,            0.027837,            0.046604,             0.29076,             0.37183,             0.23666,            0.088194,            0.071964,            0.014643,            0.015341,            0.070316,           0.0032982,           0.0032982
                   1,            0.063997,            0.019398,            0.011589,              0.5524,             0.50351,             0.51339,             0.23858,            0.060051,             0.01307,           0.0086164,            0.040294,           0.0066097,           0.0066097
                   2,             0.06087,            0.017089,           0.0087556,             0.49343,             0.58809,             0.51914,             0.27645,            0.056554,            0.012066,           0.0071087,             0.01025,           0.0098991,           0.0098991
                   3,            0.054355,            0.015794,           0.0076601,             0.66981,             0.62552,             0.64074,             0.34686,            0.051504,            0.011381,           0.0058925,            0.009901,            0.009901,            0.009901
                   4,            0.049833,            0.014687,           0.0066162,             0.70302,             0.64635,             0.67048,             0.33548,            0.047343,            0.012117,           0.0057145,            0.009901,            0.009901,            0.009901
                   5,            0.044938,            0.014788,           0.0059957,             0.76127,             0.65676,             0.73753,             0.42488,            0.043627,            0.011263,           0.0050448,            0.009868,            0.009868,            0.009868
                   6,             0.04187,            0.013689,           0.0054598,             0.69368,             0.65354,             0.67908,             0.36116,             0.04268,            0.011308,           0.0048206,            0.009835,            0.009835,            0.009835
                   7,            0.041678,            0.013724,            0.005174,             0.75915,             0.68207,             0.73698,             0.41751,            0.042749,            0.011467,           0.0047777,            0.009802,            0.009802,            0.009802
                   8,            0.040092,            0.014038,           0.0049032,             0.72477,             0.69197,             0.73299,             0.41823,            0.040279,            0.011635,           0.0040399,            0.009769,            0.009769,            0.009769
                   9,            0.039098,            0.013677,           0.0046416,             0.73367,             0.66717,             0.72014,             0.41173,            0.040703,            0.011884,           0.0038851,            0.009736,            0.009736,            0.009736
                  10,             0.03727,            0.013077,           0.0044241,             0.77623,             0.70636,             0.77575,             0.48333,            0.039774,            0.011444,           0.0036522,            0.009703,            0.009703,            0.009703
                  11,            0.037386,            0.012642,           0.0042354,             0.83053,             0.68554,             0.77789,             0.45483,            0.040142,            0.011368,           0.0034857,             0.00967,             0.00967,             0.00967
                  12,            0.036538,             0.01313,           0.0041074,             0.83063,             0.70996,             0.78367,              0.4825,            0.038114,            0.011357,           0.0036398,            0.009637,            0.009637,            0.009637
                  13,             0.03661,            0.012548,           0.0040423,             0.76799,             0.69898,             0.75613,             0.43374,            0.038203,            0.011567,           0.0034812,            0.009604,            0.009604,            0.009604
                  14,            0.035725,            0.012922,           0.0037972,             0.78374,             0.70946,             0.76691,             0.46261,            0.038586,            0.011104,           0.0032754,            0.009571,            0.009571,            0.009571
                  15,            0.034884,            0.012561,           0.0037046,             0.76851,             0.71015,             0.77366,              0.4822,            0.037488,            0.011049,           0.0031314,            0.009538,            0.009538,            0.009538
                  16,            0.034316,            0.012973,           0.0035783,             0.84482,             0.71118,             0.79779,             0.49013,             0.03746,            0.011375,           0.0031568,            0.009505,            0.009505,            0.009505
                  17,             0.03423,            0.012125,           0.0035224,             0.83047,             0.69879,             0.77677,             0.51018,            0.036835,             0.01209,           0.0032061,            0.009472,            0.009472,            0.009472
                  18,            0.033502,            0.012291,           0.0033398,             0.81802,              0.7003,             0.77492,             0.49423,            0.037846,            0.011529,           0.0029288,            0.009439,            0.009439,            0.009439
                  19,            0.032946,            0.012493,           0.0033114,             0.76354,             0.71072,             0.77009,             0.48345,            0.036422,            0.011226,           0.0029064,            0.009406,            0.009406,            0.009406
                  20,            0.032955,            0.012468,           0.0032833,             0.85746,             0.72302,             0.80763,             0.52909,            0.034989,            0.010988,           0.0026914,            0.009373,            0.009373,            0.009373
                  21,            0.031236,             0.01214,            0.003133,             0.83765,             0.70863,              0.7915,             0.51613,            0.035032,            0.011549,           0.0027832,             0.00934,             0.00934,             0.00934
                  22,            0.032102,            0.012528,           0.0031155,             0.82214,             0.71062,             0.78111,             0.50059,            0.036065,            0.011642,           0.0027719,            0.009307,            0.009307,            0.009307
                  23,              0.0319,             0.01241,           0.0030565,             0.80825,             0.71262,             0.78159,             0.50968,            0.035121,             0.01143,            0.002583,            0.009274,            0.009274,            0.009274
                  24,            0.031148,            0.011894,           0.0029802,             0.82506,              0.7164,             0.78563,             0.50643,            0.034939,            0.011706,           0.0027122,            0.009241,            0.009241,            0.009241
                  25,            0.030474,             0.01159,           0.0029408,             0.80762,             0.71942,             0.78754,             0.51237,              0.0347,            0.011589,           0.0025802,            0.009208,            0.009208,            0.009208
                  26,            0.030312,            0.011595,           0.0028534,             0.84309,             0.72939,             0.80627,             0.53835,             0.03575,            0.011447,           0.0025043,            0.009175,            0.009175,            0.009175
                  27,             0.03147,            0.012099,           0.0028377,             0.84873,             0.72662,             0.80223,             0.53175,            0.034486,            0.011274,           0.0024518,            0.009142,            0.009142,            0.009142
                  28,             0.02975,            0.011701,           0.0027845,             0.82111,             0.70579,             0.78108,             0.52243,            0.034553,            0.011831,           0.0024823,            0.009109,            0.009109,            0.009109
                  29,            0.030044,            0.011243,           0.0026834,             0.83257,             0.70888,             0.79313,             0.52517,             0.03413,            0.011434,           0.0024355,            0.009076,            0.009076,            0.009076
                  30,            0.030087,            0.011861,           0.0027073,             0.86474,             0.71261,             0.80584,             0.54667,            0.034989,            0.011807,           0.0024822,            0.009043,            0.009043,            0.009043
                  31,            0.029082,            0.011806,           0.0026228,              0.8559,             0.70011,             0.79316,             0.53793,            0.035665,            0.011772,           0.0025216,             0.00901,             0.00901,             0.00901
                  32,            0.029972,            0.011352,           0.0026548,             0.83103,             0.72264,             0.79551,             0.52105,             0.03412,            0.011593,           0.0023278,            0.008977,            0.008977,            0.008977
                  33,            0.030004,            0.011484,           0.0025651,             0.79486,             0.73725,             0.78741,             0.52299,            0.033065,            0.011348,           0.0022894,            0.008944,            0.008944,            0.008944
                  34,            0.029237,            0.011519,           0.0025229,             0.84011,             0.74111,             0.81053,              0.5517,            0.033737,               0.011,           0.0021288,            0.008911,            0.008911,            0.008911
                  35,            0.028169,            0.011091,           0.0024697,              0.8286,             0.71999,             0.79083,              0.5322,            0.033178,            0.011996,           0.0022419,            0.008878,            0.008878,            0.008878
                  36,              0.0278,            0.010737,           0.0023842,             0.84365,             0.73154,             0.80335,             0.54586,            0.033541,            0.011556,           0.0020066,            0.008845,            0.008845,            0.008845
                  37,            0.027881,            0.011189,           0.0023182,             0.86983,              0.7059,             0.79182,              0.5598,            0.032917,            0.012794,           0.0022442,            0.008812,            0.008812,            0.008812
                  38,            0.028137,            0.011101,           0.0023497,             0.84749,             0.74139,             0.81407,             0.55104,            0.033568,            0.011673,           0.0020036,            0.008779,            0.008779,            0.008779
                  39,            0.027843,            0.010866,           0.0023403,             0.86684,             0.71361,             0.81016,             0.56156,            0.033102,            0.011535,           0.0018986,            0.008746,            0.008746,            0.008746
                  40,            0.027703,            0.010805,           0.0022824,             0.82293,             0.73116,             0.79813,             0.53419,            0.032483,            0.011448,            0.001917,            0.008713,            0.008713,            0.008713
